pricing_id,deal_id,line_item_id,service_type,locale,unit,volume,buy_rate,overhead_pct,margin_pct,sell_rate,line_total,currency,status
b4e10bdd-257f-4d40-9e3d-1b5c8f8089ac,6a8a3359-19d7-4702-bb5d-5abb6bb98481,17cde982-fde3-402a-a037-9b9ca4248f01,localization_engineering,ja-JP,per_hour,1253,66.5679,0.085,0.207,86.0057,107765.14,USD,COMPUTED
79ff2eb1-c5d9-464b-ad32-7f50f082d78c,6a8a3359-19d7-4702-bb5d-5abb6bb98481,8c344031-557e-4b70-8fe1-1f0cff7746da,localization_engineering,id-ID,per_hour,1045,30.7214,0.085,0.207,39.692,41478.14,USD,COMPUTED
22277b44-c22f-43df-8c00-e8629e2fe57c,6a8a3359-19d7-4702-bb5d-5abb6bb98481,9ad032b4-5b07-448b-bce2-9f698405ee76,localization_engineering,da-DK,per_hour,2797,63.3896,0.085,0.207,81.8994,229072.62,USD,COMPUTED
7ac951f9-aa9d-489e-a2f7-256dfa9153b8,6a8a3359-19d7-4702-bb5d-5abb6bb98481,848f8143-dcb0-43ff-8450-1a1500524fb4,localization_engineering,de-DE,per_hour,337,64.75,0.085,0.207,83.657,28192.41,USD,COMPUTED
2232e619-a59c-4043-8b21-f5674fd3e446,6a8a3359-19d7-4702-bb5d-5abb6bb98481,32228741-a74d-4e33-906a-b77e928be09e,translation,ja-JP,per_word,1139561,,0.085,0.207,,,USD,UNMAPPED
f8f53084-e70a-424a-bd8a-4f40800703e9,6a8a3359-19d7-4702-bb5d-5abb6bb98481,9e089af2-57bb-4eaf-9330-11d6adf55461,translation,id-ID,per_word,1060944,0.0503,0.085,0.207,0.065,68961.36,USD,COMPUTED
2d58de9e-d72b-4769-8f4f-812337eb2a70,6a8a3359-19d7-4702-bb5d-5abb6bb98481,2cc4dd7d-5fad-46a2-9ebb-024164a4f78f,translation,da-DK,per_word,857871,0.094,0.085,0.207,0.1214,104145.54,USD,COMPUTED
a8873225-a7e4-4b37-abed-2a2c41ec5f6d,6a8a3359-19d7-4702-bb5d-5abb6bb98481,54caec20-41f1-473c-bd91-04ad00a04371,translation,de-DE,per_word,1728646,0.0982,0.085,0.207,0.1269,219365.18,USD,COMPUTED
161b759f-d98e-443b-968a-68c422c00440,aa3b9fdd-a47c-4579-a402-16db3f54781f,c8342473-b04b-40bc-89dd-2b1c7660df40,translation,hi-IN,per_word,725276,0.045,0.098,0.216,0.0591,42863.81,USD,COMPUTED
d6f5b194-f636-436e-bacd-f0e22a311afc,ba32e251-2218-4533-b543-27ff13740c81,084386fc-2f6f-4eb4-82e9-4f59354c020d,proofreading,ta-IN,per_word,762697,0.0186,0.119,0.232,0.0251,19143.69,USD,COMPUTED
070021e4-6a30-402b-a3be-c762530f8027,ba32e251-2218-4533-b543-27ff13740c81,44c3369b-88f2-481b-8385-a272a5b8c618,proofreading,vi-VN,per_word,1338789,0.0231,0.119,0.232,0.0312,41770.22,USD,COMPUTED
bb21c6c0-2004-4aa1-b63f-28048aade815,ba32e251-2218-4533-b543-27ff13740c81,a63dd81b-b99e-4d19-a3bb-7032131c8f5a,proofreading,de-AT,per_word,1005943,0.0454,0.119,0.232,0.0613,61664.31,USD,COMPUTED
