line_item_id,rfp_id,service_type,locale,unit,volume_low,volume_base,volume_high,cost_rate_id
17cde982-fde3-402a-a037-9b9ca4248f01,413a42bc-6ec8-43d4-a5d2-888b11560b5c,localization_engineering,ja-JP,per_hour,760,1253,2014,29f6c384-5e65-4cd4-96a4-fe1661ba0c85
8c344031-557e-4b70-8fe1-1f0cff7746da,413a42bc-6ec8-43d4-a5d2-888b11560b5c,localization_engineering,id-ID,per_hour,671,1045,1456,2b51b4c7-4751-4894-84a6-5eaf88710ded
9ad032b4-5b07-448b-bce2-9f698405ee76,413a42bc-6ec8-43d4-a5d2-888b11560b5c,localization_engineering,da-DK,per_hour,1458,2797,4999,4fda6d07-7f52-4a99-bfea-cdda1ffaa079
848f8143-dcb0-43ff-8450-1a1500524fb4,413a42bc-6ec8-43d4-a5d2-888b11560b5c,localization_engineering,de-DE,per_hour,248,337,529,799d9e91-b732-4da1-a4c2-09225bc8f0bb
32228741-a74d-4e33-906a-b77e928be09e,413a42bc-6ec8-43d4-a5d2-888b11560b5c,translation,ja-JP,per_word,727652,1139561,1703902,
9e089af2-57bb-4eaf-9330-11d6adf55461,413a42bc-6ec8-43d4-a5d2-888b11560b5c,translation,id-ID,per_word,542018,1060944,1584456,392a411c-3381-4d4d-8ebb-b085317de6db
2cc4dd7d-5fad-46a2-9ebb-024164a4f78f,413a42bc-6ec8-43d4-a5d2-888b11560b5c,translation,da-DK,per_word,483335,857871,1122199,168ecf5e-6d09-4f66-b96c-03b439f139ca
54caec20-41f1-473c-bd91-04ad00a04371,413a42bc-6ec8-43d4-a5d2-888b11560b5c,translation,de-DE,per_word,893519,1728646,2455650,04cb69c0-efbe-4dce-9ea2-f943f422d3d2
c8342473-b04b-40bc-89dd-2b1c7660df40,d02efa4d-f0c4-4937-ae89-a0a65e3d6e80,translation,hi-IN,per_word,456086,725276,1301552,3259db9d-3158-45a9-afaf-592e4e0a082b
084386fc-2f6f-4eb4-82e9-4f59354c020d,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,ta-IN,per_word,507368,762697,1108387,50af7f78-3410-466f-b8a5-951170d4ea2e
44c3369b-88f2-481b-8385-a272a5b8c618,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,vi-VN,per_word,909594,1338789,1851976,d13a54c5-a12f-45d2-a25c-1d74388fbf5c
a63dd81b-b99e-4d19-a3bb-7032131c8f5a,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,de-AT,per_word,591380,1005943,1329029,3c1fc8b1-4cb4-4c34-b1a2-e1b885256e5a
a7edc4ee-1bf7-4927-bfa9-643c05c011db,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,hi-IN,per_word,1382722,1899600,3053465,673f9978-e6e5-4ea2-8e7b-d3abecc5ddd5
0a7d79c1-03d8-450f-87f2-d70fe905d731,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,es-AR,per_word,561323,987136,1766986,ea4bfee2-f710-44c1-ac21-bb7a75943e6f
be2441f9-d87c-4e32-96e5-3a54568ce469,eb674592-645d-4f1b-b950-ac3086e5550d,proofreading,fr-FR,per_word,101307,195288,316123,9b368473-7074-4057-858c-a2fcaa33e0ff
1120afe1-31ca-433c-aff5-921a5ce5ccb7,eb674592-645d-4f1b-b950-ac3086e5550d,transcription,vi-VN,per_minute,2001,2711,3717,
4a922011-1fe7-4791-b812-71204a3f8d4a,eb674592-645d-4f1b-b950-ac3086e5550d,transcription,de-AT,per_minute,3697,7269,9694,8a969a13-1385-49a2-ac26-ca82671c00ff
f9deb873-b42b-456c-9705-bc9a89b423fd,eb674592-645d-4f1b-b950-ac3086e5550d,transcription,hi-IN,per_minute,3596,6091,10809,102372f6-6319-494f-be09-e5ea4282b37a
f39a508b-21ec-425a-9b67-0a79afc24ec6,eb674592-645d-4f1b-b950-ac3086e5550d,transcription,fr-FR,per_minute,1743,2603,4618,d937abbd-1cdf-42bc-b29f-0b33061fd4d4
7aabb120-3128-4a93-a788-76fdbe26e71e,eb674592-645d-4f1b-b950-ac3086e5550d,content_writing,vi-VN,per_word,869853,1675304,2293235,69445d53-3abe-48af-b5f6-0af48d8deafe
4fbc86de-9f32-434f-98c1-05e4a13d1a40,eb674592-645d-4f1b-b950-ac3086e5550d,content_writing,de-AT,per_word,506314,844549,1372206,88b67367-aa69-4e47-bbe7-6de5953296e5
287da730-c9dd-463c-9d82-0bf70c2da343,eb674592-645d-4f1b-b950-ac3086e5550d,content_writing,hi-IN,per_word,442947,598473,785769,e90bcf2e-764b-4a8c-b463-394ead0a8c6a
5ef942ad-af96-4d84-b22e-bc4574bd8772,eb674592-645d-4f1b-b950-ac3086e5550d,content_writing,fr-FR,per_word,692697,1160790,1835019,b1adbef9-3215-4eb0-9e27-2169dccd985e
6066742f-eb59-45c7-93c6-47c008b4a62b,eb674592-645d-4f1b-b950-ac3086e5550d,qa_testing,ta-IN,per_hour,785,1132,1870,e34f71a8-3e9b-408c-ae00-aca27802fb07
